scenario,status,width,height,changed_pct,mean_abs,rms,max_delta
candle-basic,ok,1110,864,2.0915707374040706,0.8202302997441886,8.866118604032287,245
candle-light,ok,1110,864,1.99512012012012,0.8830653570236904,8.473586694141376,221
candle-line-mode,ok,1110,864,2.1114864864864864,0.9619320709598487,9.609168726982768,245
candle-loading,ok,1110,864,1.4128712045378713,0.5475923840507174,7.044078577169243,245
candle-mode-controls,excluded-intentional-layout,,,,,,
candle-no-live,ok,1110,864,2.0322405739072407,0.8178331108886665,8.860705837644911,245
candle-wide-window,ok,1110,864,2.0787454120787454,0.7536157685463242,8.547803731320972,245
line-basic-dark,ok,1110,864,1.9295337003670339,0.907325728506284,9.500604733897427,245
line-basic-light,ok,1110,864,1.9876126126126128,0.9643629740851963,9.011875807635107,221
line-degen,ok,1110,864,2.097931264597931,1.0212055805805806,9.888747507031079,245
line-empty,ok,1110,864,1.3821112779446114,0.7397028973417862,9.0752478378148,245
line-exaggerated,ok,1110,864,2.164456122789456,0.9999732371260149,9.856020676425638,245
line-loading,ok,1110,864,1.4402944611277944,0.6190325742409076,7.715289496283072,245
line-minimal-badge,ok,1110,864,1.9763513513513513,0.9205698754309865,9.628578509179887,245
line-momentum-down,ok,1110,864,2.253190690690691,1.0318255755755754,9.804234669871297,245
line-momentum-up,ok,1110,864,2.095845845845846,1.0252509453898344,9.88961803218913,245
line-no-badge,ok,1110,864,2.237028695362029,0.9496034228673117,9.117551805802204,245
line-no-grid-no-fill,ok,1110,864,1.297756089422756,0.599585349238127,8.580915587549732,245
line-orderbook,ok,1110,864,5.055472138805472,1.8949925620064507,12.694615908515367,245
line-reference,ok,1110,864,2.1619536202869534,0.9510194221999777,9.612706016735684,245
line-rounded-windows,excluded-intentional-layout,,,,,,
line-show-value-windows,excluded-intentional-layout,,,,,,
line-text-windows,excluded-intentional-layout,,,,,,
multi-basic,excluded-intentional-layout,,,,,,
multi-compact,excluded-intentional-layout,,,,,,
multi-light,excluded-intentional-layout,,,,,,
multi-two-series,excluded-intentional-layout,,,,,,
